Conference,Type,Title,In Charge,Presentation year
ICSE,F,Intention is All You Need: Refining Your Code from Your Intention,,
ICSE,F,Interactive Cross-Language Pointer Analysis for Resolving Native Code in Java Programs,,
ICSE,F,InterTrans: Leveraging Transitive Intermediate Translations to Enhance LLM-based Code Translation,,
ICSE,F,Investigating the Impact of Interpersonal Challenges on Feeling Welcome in OSS,,
ICSE,F,Invivo Fuzzing by Amplifying Actual Executions,,
ICSE,F,IRFuzzer: Specialized Fuzzing for LLVM Backend Code Generation,,
ICSE,F,Iterative Generation of Adversarial Example for Deep Code Models,,
ICSE,F,Janus: Detecting Rendering Bugs in Web Browsers via Visual Delta Consistency,,
ICSE,F,Knowledge-Enhanced Program Repair for Data Science Code,,
ICSE,F,Large Language Models as Configuration Validators,,
ICSE,F,Large Language Models for Safe Minimization,,
ICSE,F,Leveraging Large Language Models for Enhancing the Understandability of Generated Unit Tests,,
ICSE,F,Leveraging Large Language Models to Detect npm Malicious Packages,,
ICSE,F,Leveraging Propagated Infection to Crossfire Mutants,,
ICSE,F,LibreLog: Accurate and Efficient Unsupervised Log Parsing Using Open-Source Large Language Models,,
ICSE,F,LiCoEval: Evaluating LLMs on License Compliance in Code Generation,,
ICSE,F,Lightweight Concolic Testing via Path-Condition Synthesis for Deep Learning Libraries,,
ICSE,F,LiSSA: Toward Generic Traceability Link Recovery through Retrieval-Augmented Generation,,
ICSE,F,LLM-Agents Driven Automated Simulation Testing and Analysis of small Uncrewed Aerial Systems,,
ICSE,F,LLM-aided Automatic Modeling for Security Protocol Verification,,
ICSE,F,LLM Assistance for Memory Safety,,
ICSE,F,LLM Based Input Space Partitioning Testing for Library APIs,,
ICSE,F,LLMs Meet Library Evolution: Evaluating Deprecated API Usage in LLM-based Code Completion,,
ICSE,F,LWDIFF: An LLM-Assisted Differential Testing Framework for WebAssembly Runtimes,,
ICSE,F,Magika: AI-Powered Content-Type Detection,,
